Materials,Predictions,Experiments,First ionization energy difference,Pauling electronegativity difference,Average lattice size,Lattice size difference,Fermi level difference
(CaScYCeYb)B6,Single,--,5.448253706,10.51582806,4.1168,0.652041602,23.37892276
(CaScYPrNd)B6,Single,--,7.003129232,10.11295689,4.1208,0.705735614,12.22121649
(CaScYPrSm)B6,Single,--,6.581226174,9.983442259,4.1178,0.687976345,11.97369853
(CaScYPrEu)B6,Single,--,6.496600257,9.958672737,4.1248,0.772515371,17.51766053
(CaScYPrGd)B6,Single,--,5.781818684,9.958672737,4.1146,0.702641754,12.21812099
(CaScYPrTb)B6,Single,--,5.895517201,10.44680957,4.1134,0.716834443,12.2056694
(CaScYPrYb)B6,Single,--,5.847104213,10.44680957,4.119,0.691468147,18.20908197
(CaScYNdSm)B6,Single,--,6.343352162,9.905570218,4.1158,0.649115291,11.86852642
(CaScYNdEu)B6,Single,--,6.253783654,9.872729187,4.1228,0.749392511,17.37160986
(CaScYNdGd)B6,Single,--,5.47022973,9.872729187,4.1126,0.658874271,12.12471725
(CaScYNdTb)B6,Single,--,5.6068387,10.3891522,4.1114,0.671867945,12.11174974
(CaScYNdYb)B6,Single,--,5.530644456,10.3891522,4.117,0.655007191,18.06541614
(CaScYSmEu)B6,Single,--,5.745867852,9.683939691,4.1198,0.737580447,16.91175618
(CaScYSmGd)B6,Single,--,4.782807316,9.683939691,4.1096,0.616472683,11.8648746
(CaScYSmTb)B6,Single,--,4.981911477,10.28486082,4.1084,0.626943069,11.85016725
(CaScYSmYb)B6,Single,--,4.829117339,10.28486082,4.114,0.625031831,17.61267033
(CaScYEuYb)B6,Single,--,4.6756677,10.28314045,4.121,0.73889733,19.25234919
(CaScLaCePr)B6,Single,--,7.205237238,10.36682913,4.1332,0.786728744,21.04233642
(CaScLaCeNd)B6,Single,--,7.039790009,10.33688496,4.1312,0.776919677,21.09435812
(CaScLaCeSm)B6,Single,--,6.721559481,10.3181892,4.1282,0.784696153,21.30441178
(CaScLaCeEu)B6,Single,--,6.661929194,10.40366531,4.1352,0.808061683,27.92794262
(CaScLaCeTb)B6,Single,--,6.333225765,10.52811013,4.1238,0.84273829,21.10430417
(CaScLaCeDy)B6,Single,--,6.333225765,10.51582806,4.1234,0.850489273,21.14666969
